source_turn_id,source_edge_sequence,from_link_id,to_link_id,via_node_id,no_turn,included_vehicle_types,excluded_vehicle_types,part_time_restriction,status
428,104305|104305,308610,308611,10463,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
428,104305|104305,308611,308610,10468,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
130022,105028|105028,310056,310057,10671,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
130022,105028|105028,310057,310056,10621,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
5516,104943|104943,309886,309887,10541,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
5516,104943|104943,309887,309886,10537,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
5546,105081|105081,310162,310163,10754,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
5546,105081|105081,310163,310162,10761,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
1037,104187|104298,308374,308596,10625,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
605,105202|105202,310404,310405,10491,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
605,105202|105202,310405,310404,10494,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
141625,260886|260886,621772,621773,10179,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
141625,260886|260886,621773,621772,10195,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
141629,260886|105417,621773,310835,10195,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
141630,260886|105320,621773,310641,10195,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
141631,105417|260886,310834,621772,10195,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
141636,261013|261013,622026,622027,10098,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
141636,261013|261013,622027,622026,10097,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
