route_id,agency_id,route_short_name,route_long_name,route_type,service_id,pilot_intersecting_trip_patterns,frequency_records,headway_min_s,headway_max_s,calendar_start,calendar_end,schedule_type
1015,KMB+CTB,109,HO MAN TIN - CENTRAL (MACAU FERRY),3,287,33,33,480,1800,20200101,20991231,frequency/headway
1015,KMB+CTB,109,HO MAN TIN - CENTRAL (MACAU FERRY),3,288,19,19,1620,1800,20200101,20991231,frequency/headway
1015,KMB+CTB,109,HO MAN TIN - CENTRAL (MACAU FERRY),3,448,6,6,1560,1800,20200101,20991231,frequency/headway
1016,KMB,11,DIAMOND HILL STATION - KOWLOON STATION (SPECIAL DEPARTURE),3,287,3,3,900,1200,20200101,20991231,frequency/headway
1017,KMB+CTB,110,SHAU KEI WAN - TSIM SHA TSUI (CIRCULAR),3,287,13,13,840,1800,20200101,20991231,frequency/headway
1017,KMB+CTB,110,SHAU KEI WAN - TSIM SHA TSUI (CIRCULAR),3,288,5,5,1200,1800,20200101,20991231,frequency/headway
1017,KMB+CTB,110,SHAU KEI WAN - TSIM SHA TSUI (CIRCULAR),3,448,6,6,1500,1800,20200101,20991231,frequency/headway
1019,KMB+CTB,112,NORTH POINT - SO UK,3,287,61,61,300,1800,20200101,20991231,frequency/headway
1019,KMB+CTB,112,NORTH POINT - SO UK,3,288,73,73,300,1800,20200101,20991231,frequency/headway
1019,KMB+CTB,112,NORTH POINT - SO UK,3,448,56,56,300,1800,20200101,20991231,frequency/headway
1021,KMB+CTB,115,KOWLOON CITY FERRY - CENTRAL (MACAO FERRY),3,287,31,31,540,1800,20200101,20991231,frequency/headway
1021,KMB+CTB,115,KOWLOON CITY FERRY - CENTRAL (MACAO FERRY),3,288,38,38,900,1800,20200101,20991231,frequency/headway
1021,KMB+CTB,115,KOWLOON CITY FERRY - CENTRAL (MACAO FERRY),3,448,18,18,1200,1800,20200101,20991231,frequency/headway
1022,KMB+CTB,115P,LAGUNA VERDE - CENTRAL (MACAO FERRY),3,31,2,0,,,20200101,20991231,specified schedule or no frequency record
1023,KMB+CTB,116,TSZ WAN SHAN (CENTRAL) - QUARRY BAY,3,287,75,75,240,1200,20200101,20991231,frequency/headway
1023,KMB+CTB,116,TSZ WAN SHAN (CENTRAL) - QUARRY BAY,3,288,94,94,240,1200,20200101,20991231,frequency/headway
1023,KMB+CTB,116,TSZ WAN SHAN (CENTRAL) - QUARRY BAY,3,448,81,81,300,1200,20200101,20991231,frequency/headway
1024,KMB+CTB,117,SHAM SHUI PO (YEN CHOW ST) - HAPPY VALLEY (LOWER),3,287,54,54,960,1380,20200101,20991231,frequency/headway
1024,KMB+CTB,117,SHAM SHUI PO (YEN CHOW ST) - HAPPY VALLEY (LOWER),3,288,54,54,1200,1380,20200101,20991231,frequency/headway
1024,KMB+CTB,117,SHAM SHUI PO (YEN CHOW ST) - HAPPY VALLEY (LOWER),3,448,2,2,1800,1800,20200101,20991231,frequency/headway
1032,KMB,12,HOI LAI ESTATE - TSIM SHA TSUI EAST (MODY ROAD),3,287,9,9,1200,1800,20200101,20991231,frequency/headway
1032,KMB,12,HOI LAI ESTATE - TSIM SHA TSUI EAST (MODY ROAD),3,288,7,7,1500,1800,20200101,20991231,frequency/headway
1032,KMB,12,HOI LAI ESTATE - TSIM SHA TSUI EAST (MODY ROAD),3,448,9,9,1500,1800,20200101,20991231,frequency/headway
1037,KMB,13X,PO TAT - TSIM SHA TSUI EAST,3,287,13,13,600,1800,20200101,20991231,frequency/headway
1037,KMB,13X,PO TAT - TSIM SHA TSUI EAST,3,288,15,15,660,1800,20200101,20991231,frequency/headway
1037,KMB,13X,PO TAT - TSIM SHA TSUI EAST,3,448,13,13,840,1800,20200101,20991231,frequency/headway
1038,KMB,14,LEI YUE MUN ESTATE - CHINA FERRY TERMINAL,3,287,16,16,900,1800,20200101,20991231,frequency/headway
1038,KMB,14,LEI YUE MUN ESTATE - CHINA FERRY TERMINAL,3,288,10,10,900,1800,20200101,20991231,frequency/headway
1038,KMB,14,LEI YUE MUN ESTATE - CHINA FERRY TERMINAL,3,448,15,15,900,1800,20200101,20991231,frequency/headway
1040,KMB,14X,YAU TONG (SHUNG TAK WAI) - TSIM SHA TSUI (CIRCULAR),3,287,9,9,900,1800,20200101,20991231,frequency/headway
1040,KMB,14X,YAU TONG (SHUNG TAK WAI) - TSIM SHA TSUI (CIRCULAR),3,480,1,1,1800,1800,20200101,20991231,frequency/headway
1046,KMB,17,KWUN TONG (YUE MAN SQUARE) - HO MAN TIN (OI MAN ESTATE),3,287,49,49,300,1500,20200101,20991231,frequency/headway
1046,KMB,17,KWUN TONG (YUE MAN SQUARE) - HO MAN TIN (OI MAN ESTATE),3,288,12,12,720,1500,20200101,20991231,frequency/headway
1046,KMB,17,KWUN TONG (YUE MAN SQUARE) - HO MAN TIN (OI MAN ESTATE),3,448,10,10,900,1500,20200101,20991231,frequency/headway
1047,KMB+CTB,170,SHATIN STATION - WAH FU (CENTRAL),3,287,22,22,900,1800,20200101,20991231,frequency/headway
1047,KMB+CTB,170,SHATIN STATION - WAH FU (CENTRAL),3,288,33,33,900,1800,20200101,20991231,frequency/headway
1047,KMB+CTB,170,SHATIN STATION - WAH FU (CENTRAL),3,448,20,20,900,1800,20200101,20991231,frequency/headway
1050,KMB,18,CHEUNG SHA WAN (HOI TAT ESTATE) - OI MAN(CIRCULAR),3,287,3,3,1500,2400,20200101,20991231,frequency/headway
1050,KMB,18,CHEUNG SHA WAN (HOI TAT ESTATE) - OI MAN(CIRCULAR),3,480,3,3,1800,2400,20200101,20991231,frequency/headway
1051,KMB+CTB,182,YU CHUI COURT - CENTRAL (MACAO FERRY),3,287,15,15,900,1800,20200101,20991231,frequency/headway
1051,KMB+CTB,182,YU CHUI COURT - CENTRAL (MACAO FERRY),3,288,7,7,1200,1800,20200101,20991231,frequency/headway
1051,KMB+CTB,182,YU CHUI COURT - CENTRAL (MACAO FERRY),3,448,7,7,1200,1800,20200101,20991231,frequency/headway
1053,KMB,1A,SAU MAU PING (CENTRAL) - STAR FERRY,3,287,120,120,420,1200,20200101,20991231,frequency/headway
1053,KMB,1A,SAU MAU PING (CENTRAL) - STAR FERRY,3,288,51,51,420,1200,20200101,20991231,frequency/headway
1053,KMB,1A,SAU MAU PING (CENTRAL) - STAR FERRY,3,448,40,40,420,1200,20200101,20991231,frequency/headway
1054,KMB,2,STAR FERRY - CHEUNG SHA WAN (SO UK ESTATE),3,287,6,6,1200,1500,20200101,20991231,frequency/headway
1054,KMB,2,STAR FERRY - CHEUNG SHA WAN (SO UK ESTATE),3,288,8,8,900,1500,20200101,20991231,frequency/headway
1054,KMB,2,STAR FERRY - CHEUNG SHA WAN (SO UK ESTATE),3,448,8,8,900,1500,20200101,20991231,frequency/headway
1056,KMB,203E,CHOI HUNG - KOWLOON STATION,3,287,11,11,900,1800,20200101,20991231,frequency/headway
1056,KMB,203E,CHOI HUNG - KOWLOON STATION,3,288,13,13,720,1800,20200101,20991231,frequency/headway
1056,KMB,203E,CHOI HUNG - KOWLOON STATION,3,448,8,8,1200,1800,20200101,20991231,frequency/headway
1057,KMB,208,BROADCAST DRIVE - TSIM SHA TSUI EAST,3,287,5,5,1500,1800,20200101,20991231,frequency/headway
1057,KMB,208,BROADCAST DRIVE - TSIM SHA TSUI EAST,3,288,5,5,1500,1800,20200101,20991231,frequency/headway
1057,KMB,208,BROADCAST DRIVE - TSIM SHA TSUI EAST,3,448,4,4,1500,2100,20200101,20991231,frequency/headway
1061,KMB,215X,LAM TIN (KWONG TIN ESTATE) - KOWLOON STATION,3,287,24,24,360,1800,20200101,20991231,frequency/headway
1061,KMB,215X,LAM TIN (KWONG TIN ESTATE) - KOWLOON STATION,3,288,20,20,360,1800,20200101,20991231,frequency/headway
1061,KMB,215X,LAM TIN (KWONG TIN ESTATE) - KOWLOON STATION,3,448,14,14,480,1500,20200101,20991231,frequency/headway
1064,KMB,219X,LAGUNA CITY - TSIM SHA TSUI(CIRCULAR),3,287,10,10,1080,2400,20200101,20991231,frequency/headway
1064,KMB,219X,LAGUNA CITY - TSIM SHA TSUI(CIRCULAR),3,288,6,6,900,1800,20200101,20991231,frequency/headway
1064,KMB,219X,LAGUNA CITY - TSIM SHA TSUI(CIRCULAR),3,448,5,5,1200,1800,20200101,20991231,frequency/headway
1066,KMB,224X,KAI YIP - TSIM SHA TSUI EAST (CIRCULAR),3,287,6,6,1500,1800,20200101,20991231,frequency/headway
1066,KMB,224X,KAI YIP - TSIM SHA TSUI EAST (CIRCULAR),3,288,4,4,1800,1800,20200101,20991231,frequency/headway
1068,KMB,230X,TSUEN WAN (ALLWAY GARDENS) - WHAMPOA GARDEN,3,287,3,0,,,20200101,20991231,specified schedule or no frequency record
1068,KMB,230X,TSUEN WAN (ALLWAY GARDENS) - WHAMPOA GARDEN,3,288,2,0,,,20200101,20991231,specified schedule or no frequency record
1071,KMB,234P,TSUEN WAN (BAYVIEW GARDEN) - STAR FERRY,3,319,1,0,,,20200101,20991231,specified schedule or no frequency record
1073,KMB,234X,TSIM SHA TSUI EAST (MODY ROAD) - TSUEN WAN (BAYVIEW GARDEN),3,287,12,12,900,1800,20200101,20991231,frequency/headway
1073,KMB,234X,TSIM SHA TSUI EAST (MODY ROAD) - TSUEN WAN (BAYVIEW GARDEN),3,288,13,13,900,1800,20200101,20991231,frequency/headway
1073,KMB,234X,TSIM SHA TSUI EAST (MODY ROAD) - TSUEN WAN (BAYVIEW GARDEN),3,448,13,13,900,1800,20200101,20991231,frequency/headway
1078,KMB,238P,TSUEN WAN (RIVIERA GARDENS) - CHINA FERRY TERMINAL,3,287,4,0,,,20200101,20991231,specified schedule or no frequency record
1078,KMB,238P,TSUEN WAN (RIVIERA GARDENS) - CHINA FERRY TERMINAL,3,288,2,0,,,20200101,20991231,specified schedule or no frequency record
1079,KMB,238X,TSUEN WAN (RIVIERA GARDENS) - CHINA FERRY TERMINAL,3,287,18,18,720,1500,20200101,20991231,frequency/headway
1079,KMB,238X,TSUEN WAN (RIVIERA GARDENS) - CHINA FERRY TERMINAL,3,288,11,11,900,1800,20200101,20991231,frequency/headway
1079,KMB,238X,TSUEN WAN (RIVIERA GARDENS) - CHINA FERRY TERMINAL,3,448,10,10,900,1800,20200101,20991231,frequency/headway
1089,KMB,252B,HIN FAT ESTATE - TSIM SHA TSUI,3,287,3,0,,,20200101,20991231,specified schedule or no frequency record
1089,KMB,252B,HIN FAT ESTATE - TSIM SHA TSUI,3,288,2,0,,,20200101,20991231,specified schedule or no frequency record
1092,KMB,259B,TUEN MUN PIER HEAD - TSIM SHA TSUI,3,287,3,0,,,20200101,20991231,specified schedule or no frequency record
1093,KMB,259C,SUN TUEN MUN CENTRE - TSIM SHA TSUI,3,287,2,0,,,20200101,20991231,specified schedule or no frequency record
1096,KMB,26,SHUN TIN - TSIM SHA TSUI EAST,3,287,18,18,600,1500,20200101,20991231,frequency/headway
1096,KMB,26,SHUN TIN - TSIM SHA TSUI EAST,3,288,51,51,480,1800,20200101,20991231,frequency/headway
1096,KMB,26,SHUN TIN - TSIM SHA TSUI EAST,3,448,22,22,600,1800,20200101,20991231,frequency/headway
1098,KMB,260B,TUEN MUN CENTRAL - TSIM SHA TSUI,3,287,4,0,,,20200101,20991231,specified schedule or no frequency record
1101,KMB,260X,TUEN MUN (PO TIN ESTATE) - HUNG HOM STATION,3,287,40,40,300,1200,20200101,20991231,frequency/headway
1101,KMB,260X,TUEN MUN (PO TIN ESTATE) - HUNG HOM STATION,3,288,48,48,300,1200,20200101,20991231,frequency/headway
1101,KMB,260X,TUEN MUN (PO TIN ESTATE) - HUNG HOM STATION,3,448,22,22,420,1500,20200101,20991231,frequency/headway
1103,KMB,261B,TUEN MUN (SAM SHING ESTATE) - KOWLOON STATION,3,287,1,0,,,20200101,20991231,specified schedule or no frequency record
1103,KMB,261B,TUEN MUN (SAM SHING ESTATE) - KOWLOON STATION,3,288,1,0,,,20200101,20991231,specified schedule or no frequency record
1113,KMB,268B,LONG PING STATION - HUNG HOM (HUNG LUEN ROAD),3,287,3,1,1200,1200,20200101,20991231,frequency/headway
1113,KMB,268B,LONG PING STATION - HUNG HOM (HUNG LUEN ROAD),3,480,2,2,1800,1800,20200101,20991231,frequency/headway
1115,KMB,269B,TIN SHUI WAI TOWN CENTRE - HUNG HOM (HUNG LUEN ROAD),3,287,12,12,720,1800,20200101,20991231,frequency/headway
1115,KMB,269B,TIN SHUI WAI TOWN CENTRE - HUNG HOM (HUNG LUEN ROAD),3,288,13,13,900,1800,20200101,20991231,frequency/headway
1115,KMB,269B,TIN SHUI WAI TOWN CENTRE - HUNG HOM (HUNG LUEN ROAD),3,448,12,12,1200,1800,20200101,20991231,frequency/headway
1122,KMB,270A,SHEUNG SHUI - TSIM SHA TSUI EAST (MODY ROAD),3,287,19,19,600,1800,20200101,20991231,frequency/headway
1122,KMB,270A,SHEUNG SHUI - TSIM SHA TSUI EAST (MODY ROAD),3,288,14,14,600,1800,20200101,20991231,frequency/headway
1122,KMB,270A,SHEUNG SHUI - TSIM SHA TSUI EAST (MODY ROAD),3,448,13,13,720,1800,20200101,20991231,frequency/headway
1123,KMB,271,TAI PO (FU HENG) - JORDAN (WEST KOWLOON STATION),3,287,22,22,360,1200,20200101,20991231,frequency/headway
1123,KMB,271,TAI PO (FU HENG) - JORDAN (WEST KOWLOON STATION),3,288,86,86,360,1200,20200101,20991231,frequency/headway
1123,KMB,271,TAI PO (FU HENG) - JORDAN (WEST KOWLOON STATION),3,448,17,17,480,1200,20200101,20991231,frequency/headway
1147,KMB,28,LOK WAH - STAR FERRY,3,287,15,15,720,1800,20200101,20991231,frequency/headway
1147,KMB,28,LOK WAH - STAR FERRY,3,288,12,12,720,1800,20200101,20991231,frequency/headway
1147,KMB,28,LOK WAH - STAR FERRY,3,448,12,12,720,1800,20200101,20991231,frequency/headway
1149,KMB,281A,KWONG YUEN - KOWLOON STATION,3,287,22,22,600,1800,20200101,20991231,frequency/headway
1149,KMB,281A,KWONG YUEN - KOWLOON STATION,3,288,14,14,600,1800,20200101,20991231,frequency/headway
1149,KMB,281A,KWONG YUEN - KOWLOON STATION,3,448,16,16,600,1800,20200101,20991231,frequency/headway
1169,KMB,2E,PAK TIN (NORTH) - KOWLOON CITY FERRY,3,287,10,10,900,1800,20200101,20991231,frequency/headway
1169,KMB,2E,PAK TIN (NORTH) - KOWLOON CITY FERRY,3,288,9,9,1200,1800,20200101,20991231,frequency/headway
1169,KMB,2E,PAK TIN (NORTH) - KOWLOON CITY FERRY,3,448,9,9,1200,1800,20200101,20991231,frequency/headway
1176,KMB,30X,TSUEN WAN (ALLWAY GARDENS) - WHAMPOA GARDEN,3,287,15,15,780,1800,20200101,20991231,frequency/headway
1176,KMB,30X,TSUEN WAN (ALLWAY GARDENS) - WHAMPOA GARDEN,3,288,11,11,1080,1500,20200101,20991231,frequency/headway
1176,KMB,30X,TSUEN WAN (ALLWAY GARDENS) - WHAMPOA GARDEN,3,448,8,8,900,1500,20200101,20991231,frequency/headway
1187,KMB,35A,KWAI CHUNG (ON YAM ESTATE) - TSIM SHA TSUI EAST,3,287,28,28,300,1500,20200101,20991231,frequency/headway
1187,KMB,35A,KWAI CHUNG (ON YAM ESTATE) - TSIM SHA TSUI EAST,3,288,21,21,420,1500,20200101,20991231,frequency/headway
1187,KMB,35A,KWAI CHUNG (ON YAM ESTATE) - TSIM SHA TSUI EAST,3,448,20,20,600,1500,20200101,20991231,frequency/headway
