zone_id,centroid_lon,centroid_lat,production_person_midday,attraction_person_midday,selected_origin,selected_destination
h3r9:892a3066357ffff,-71.08675065270981,42.35292061407903,56.83704639730564,48.81189674456695,1,1
h3r9:892a306635bffff,-71.09331224966351,42.35560355565865,0.4661347008420709,0.5627211703859232,1,1
h3r9:892a3066363ffff,-71.08914299545647,42.344853424279655,282.66133614218717,256.1940519088703,1,1
h3r9:892a3066367ffff,-71.08699742925315,42.342167016474804,218.89490794260138,206.594717614809,1,1
h3r9:892a306636bffff,-71.09355751496155,42.34484956248364,53.121784222078574,47.04254286731092,1,1
h3r9:892a306636fffff,-71.09141167860348,42.34216322862586,90.840186985685,82.33303568847924,1,1
h3r9:892a3066373ffff,-71.08687405533708,42.34754364967233,201.14106848137195,198.5541397778955,1,1
h3r9:892a3066377ffff,-71.08472850310531,42.34485711671819,197.2738567666822,198.69967543855722,1,1
h3r9:892a306637bffff,-71.09128881788584,42.34753988328863,108.71418098699382,94.69547342420016,1,1
h3r9:892a3066383ffff,-71.07123479113872,42.35562095576458,98.50363505918288,86.78054771398338,1,1
h3r9:892a3066387ffff,-71.06908982168257,42.35293389957393,27.162419084478238,24.58531000052154,1,1
h3r9:892a306638bffff,-71.07565022829593,42.35561781461462,70.95635064613741,59.739365104330155,1,1
h3r9:892a306638fffff,-71.0735049884692,42.352930832318066,170.48862389850373,168.65349607160962,1,1
h3r9:892a3066393ffff,-71.0689643366639,42.358311108806454,217.0066429659165,188.06457707850046,1,1
h3r9:892a3066397ffff,-71.06681938135974,42.35562392748518,48.3943396618133,51.94728897504981,1,1
h3r9:892a306639bffff,-71.07338001685633,42.35830806319369,44.48112476007892,36.84636201582262,1,1
h3r9:892a30663a3ffff,-71.06921527750262,42.347557021468305,151.62072395913373,137.32388205770263,1,1
h3r9:892a30663a7ffff,-71.067070806283,42.34487019296019,128.47289350689076,109.68385475416176,1,1
h3r9:892a30663abffff,-71.07362993100283,42.34755393257387,178.43178690220148,158.33088186639756,1,1
h3r9:892a30663afffff,-71.07148518949691,42.344867177920264,170.7463544225006,153.7142033592606,1,1
h3r9:892a30663b3ffff,-71.06694510844794,42.35024689464433,202.29111570886337,213.73020360810114,1,1
h3r9:892a30663b7ffff,-71.06480065139498,42.34755994099827,204.37395870760605,182.94123649566163,1,1
h3r9:892a30663bbffff,-71.07136000488472,42.35024390126177,325.4213715039195,361.02892668203884,1,1
h3r9:892a30663c3ffff,-71.08221145925725,42.358301463608946,12.709263967678137,10.52782313740502,1,1
h3r9:892a30663c7ffff,-71.08006569277921,42.355614504032175,8.13992686220972,6.742812632474941,1,1
h3r9:892a30663cbffff,-71.08662722136131,42.358297909630714,9.64161526585636,8.864930577130702,1,1
h3r9:892a30663cfffff,-71.08448118453639,42.355611024014124,1.564086332015477,1.295624051570014,1,1
h3r9:892a30663d3ffff,-71.07994147683584,42.360991932838346,36.97563315276128,37.360908438481204,1,1
h3r9:892a30663d7ffff,-71.07779572440484,42.3583048481289,4.460210615646094,3.6946520771396756,1,1
h3r9:892a30663dbffff,-71.08435748207805,42.36098847436014,44.575140608380146,47.817447619585984,1,1
h3r9:892a306654fffff,-71.04663015458425,42.36907898902378,9.275582140285932,7.683505092185294,1,1
h3r9:892a306656bffff,-71.04675826613506,42.36370122662432,6.715273498797403,5.59541955905871,1,1
h3r9:892a3066c5bffff,-71.04739837685723,42.33681738054575,211.08374795276345,215.74243682601397,1,1
h3r9:892a3066e53ffff,-71.07387972887288,42.33680112673653,185.03274105435094,178.4754960044575,1,1
h3r9:892a3066e5bffff,-71.07829338348272,42.336797825295335,157.0771099050702,136.55922446180128,1,1
h3r9:892a3066e83ffff,-71.05622538420197,42.33681263970032,92.54895782781655,80.11166437969217,1,1
h3r9:892a3066e8bffff,-71.06063892920018,42.336810015373246,24.678112952151494,24.98627451387639,1,1
h3r9:892a3066e93ffff,-71.05395502919374,42.33950191679023,87.05574300195475,75.64026489945905,1,1
h3r9:892a3066e97ffff,-71.05181186673693,42.33681509475677,137.6075081848449,115.05287718899422,1,1
h3r9:892a3066e9bffff,-71.05836881692714,42.33949938798685,71.160503580003,64.54333644397164,1,1
h3r9:892a3066ec3ffff,-71.06719647487513,42.33949382249697,123.78001847464478,124.22521668837207,1,1
h3r9:892a3066ec7ffff,-71.0650525016795,42.336807221772354,18.243803097199567,15.632537579541237,1,1
h3r9:892a3066ecbffff,-71.0716103449854,42.33949078580418,182.28817796682415,161.10093686555442,1,1
h3r9:892a3066ecfffff,-71.06946610158778,42.3368042588945,150.86812196265885,155.84050197749593,1,1
h3r9:892a3066ed3ffff,-71.06492659118597,42.342183415759976,103.41768442653591,96.63449755822131,1,1
h3r9:892a3066ed7ffff,-71.06278263217163,42.33949668989014,33.49727393706394,37.70986662119339,1,1
h3r9:892a3066edbffff,-71.06934070413429,42.342180474553786,167.99818653682314,146.78057892600242,1,1
