link_id,flow_pce_per_period,cost_min
11179,0.16591106005168288,0.43751400044538535
11180,2.7897980104696383,0.0787240023933858
11201,0.0034032029610045387,0.1880000000000084
11202,26.19468573969829,0.117074980464073
11203,0.0,0.027326
11204,0.0,0.027326
11205,23.40488772922865,0.09855754422630347
11206,2.7897980104696383,0.018140000551496598
11207,0.0,0.024958
11208,2.7897980104696383,0.07069733548269047
11209,0.0034032029610045387,0.016841333333334062
11210,0.0034032029610045387,0.025546000000010942
11211,0.0,0.105134
11212,0.0,0.1435213333333333
11213,2.7897980104696383,0.021034667306167546
11214,0.16591106005168288,0.15641600015923007
11215,0.0,0.156416
11216,0.0,0.150056
11217,0.16591106005168288,0.15005600015275566
11218,2.7897980104696383,0.1634980470599301
11219,0.0,0.163498
11220,0.0,0.0403506666666666
11221,0.0,0.0957106666666666
11222,0.0,0.0957106666666666
11223,0.0,0.0767946666666666
11224,0.0,0.0767946666666666
11225,0.0,0.1111453333333333
11226,2.7897980104696383,0.08720800265131837
11227,0.0,0.069904
11228,0.0,0.0477893333333333
11229,0.0,0.060574
11230,0.0,0.0513533333333333
11231,2.7897980104696383,0.06364001831761827
11232,2.7897980104696383,0.1831660527210067
11233,0.0,0.183166
11234,23.40488772922865,0.6032142199438392
11235,0.0,0.5314906666666667
11236,0.0,0.5314906666666667
11237,0.0,0.219432
11238,0.0,0.219432
11239,0.0,0.140062
11240,0.0,0.140062
11241,0.0,0.0229373333333333
11264,0.0,0.56834
11265,0.0,0.56834
11266,0.0,0.086648
11267,0.0,0.0392546666666666
11268,0.0,0.06399
11269,0.0,0.057296
11270,0.0,0.01032
11271,0.0,0.01032
11272,0.0,0.116812
11273,0.0,0.116812
11274,0.0,0.20661
11275,0.0,0.20661
11298,0.0,0.095752
11299,0.0,0.095752
11300,0.0,0.13684
11301,0.0,0.13684
11302,0.0,0.1164106666666666
11303,0.0,0.092322
11304,0.0,0.0670106666666666
11305,0.0,0.0533386666666666
11306,0.0,0.062392
11307,0.0,0.062392
11308,0.0,0.164308
11309,0.0,0.164308
11310,0.0,0.081306
11311,0.0,0.081306
11312,0.0,0.090332
11313,0.0,0.090332
11314,0.0,0.1293266666666666
11315,0.0,0.1293266666666666
11316,0.0,0.125008
11317,0.0,0.125008
11318,0.0,0.086634
11319,0.0,0.086634
11320,0.0,0.11287
11321,0.0,0.11287
11322,0.0,0.025356
11323,0.0,0.025356
11324,0.0,0.134116
11325,0.0,0.134116
11326,0.0,0.0306939999999999
11327,0.0,0.0306939999999999
11328,0.0,0.095796
11329,0.0,0.095796
11330,0.0,1.103472
11331,0.0,0.28106
11332,0.0,0.242024
11333,0.0,0.242024
11334,0.0,0.439542
11335,0.0,0.39229
11336,2.7897980104696383,0.3922901129135523
11337,0.0,0.219716
11338,0.09731355789423173,0.37701600000512275
11339,2.7897980104696383,0.28929008326687283
11340,0.0,0.28929
11341,0.0,0.144396
11342,0.0,0.147884
11343,0.0,0.134346
11344,0.4174930248542778,0.1771680001206268
11345,0.0,0.138112
11346,0.4174930248542778,0.24013066683016232
11347,0.4174930248542778,0.0924920000629741
11348,0.0,0.0917786666666666
11349,0.4174930248542778,0.009586666673193788
11350,0.4174930248542778,0.01322800000900633
11351,0.42089622781528235,0.05376000003720227
11352,0.42089622781528235,0.011409333341228633
11353,0.0,0.088138
11354,0.0,0.125072
11355,0.0,0.338732
11356,2.7897980104696383,0.3387320974978546
11357,0.0,0.040596
11358,0.0,0.112302
11359,2.7897980104696383,0.06626401907288901
11360,0.0,0.066264
11361,0.0,0.03228
11362,0.0,0.08932
11363,2.7897980104696383,0.026780007708136662
11364,0.0,0.02678
11365,0.0,0.074868
11366,0.0,0.054466
11367,0.0,0.054466
11370,0.0,0.424894
11371,0.0,0.316654
11372,0.0,0.316654
11373,0.0,1.315152
11374,0.0,0.205772
11375,0.0,0.462654
11379,0.0,0.979058
11462,0.0,0.202626
11463,0.0,0.202626
11492,0.0,0.085048
11493,0.0,0.085048
11494,0.0,0.104924
11495,0.0,0.104924
11496,0.0,0.193038
11497,0.0,0.193038
11498,0.0,0.126818
11499,0.0,0.126818
11500,0.0,0.116986
11501,0.0,0.116986
11502,0.0,0.059744
11503,0.0,0.059744
11504,0.0,0.11105
11505,0.0,0.11105
11506,0.0,0.049758
11507,0.0,0.049758
11508,0.0,0.111916
11509,0.0,0.111916
11514,0.0,0.17773
11515,0.0,0.17773
11534,0.0,0.129754
11535,0.0,0.129754
11536,0.0,0.103314
11537,0.0,0.103314
11538,0.0,0.042882
11539,0.0,0.042882
11540,0.0,0.0306599999999999
11541,0.0,0.0306599999999999
11542,0.0,0.09401
11543,0.0,0.09401
11544,0.0,0.032214
11545,0.0,0.032214
11546,0.0,0.165302
11547,0.0,0.165302
11548,0.0,0.008
11549,0.0,0.008
11550,0.0,0.043806
11551,0.0,0.043806
11552,0.0,0.079958
11553,0.0,0.065076
11554,0.0,0.091716
