link_id,from_node_id,to_node_id,source_link_id,geometry,is_physical,is_centroid_connector,fw_volume,full_path_volume,rank26_v_from_paths,rank52_v_from_paths,rank26_minus_fw,rank52_minus_fw,full_path_minus_fw
15020,2275,2858,15020,"LINESTRING (-71.0835085 42.3440464, -71.0850199 42.3428419)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15021,1786,2928,15021,"LINESTRING (-71.0848289 42.342712, -71.0840715 42.342197)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15022,2928,1786,15022,"LINESTRING (-71.0840715 42.342197, -71.0848289 42.342712)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15023,1786,1787,15023,"LINESTRING (-71.0848289 42.342712, -71.0835132 42.3438585)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15024,4237,2928,15024,"LINESTRING (-71.083793 42.3420076, -71.0840715 42.342197)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15025,2928,4237,15025,"LINESTRING (-71.0840715 42.342197, -71.083793 42.3420076)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15026,2858,4861,15026,"LINESTRING (-71.0850199 42.3428419, -71.0857885 42.3433687)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15027,4861,2858,15027,"LINESTRING (-71.0857885 42.3433687, -71.0850199 42.3428419)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15028,1786,2858,15028,"LINESTRING (-71.0848289 42.342712, -71.0850199 42.3428419)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15029,2858,1786,15029,"LINESTRING (-71.0850199 42.3428419, -71.0848289 42.342712)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15030,1787,1812,15030,"LINESTRING (-71.0835132 42.3438585, -71.0829775 42.3442843)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15031,342,3482,15031,"LINESTRING (-71.0847083 42.3503329, -71.0862186 42.3499194)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15032,4110,3482,15032,"LINESTRING (-71.0860519 42.3495769, -71.0862186 42.3499194)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15033,4093,4140,15033,"LINESTRING (-71.088524 42.3489067, -71.0881317 42.3480939)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
