child_zone_id,parent_zone_id,relationship,allocation_weight,network_id,network_version,method
h3r9:892a3066367ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306636bffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306636fffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066373ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066377ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306637bffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066383ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066387ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306638bffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306638fffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066393ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066397ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306639bffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30663a3ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30663a7ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30663abffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30663afffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30663b3ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30663b7ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30663bbffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30663c3ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30663c7ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30663cbffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30663cfffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30663d3ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30663d7ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30663dbffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306654fffff,h3r7:872a30665ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306656bffff,h3r7:872a30665ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
