path_id,path_index,link_order,link_id,link_index
OD003_P02,17,13,17190,3766
OD003_P02,17,14,17191,2990
OD003_P02,17,15,17057,3546
OD003_P02,17,16,17208,3544
OD003_P02,17,17,17205,922
OD003_P02,17,18,17194,151
OD003_P02,17,19,17211,921
OD003_P02,17,20,14243,911
OD003_P02,17,21,18664,912
OD003_P02,17,22,18686,2614
OD003_P02,17,23,18680,916
OD003_P02,17,24,18668,3769
OD003_P02,17,25,18669,2881
OD003_P02,17,26,18676,2882
OD003_P02,17,27,18287,3473
OD003_P02,17,28,18427,3775
OD003_P02,17,29,18416,2895
OD003_P02,17,30,18430,85
OD003_P02,17,31,18382,1203
OD003_P02,17,32,18413,3624
OD003_P02,17,33,18383,3625
OD003_P02,17,34,18294,3774
OD003_P02,17,35,18487,2625
OD003_P02,17,36,18488,2627
OD003_P02,17,37,18437,2789
OD003_P02,17,38,18503,2844
OD003_P02,17,39,18551,4212
OD003_P02,17,40,18550,3241
OD003_P02,17,41,18547,3242
OD003_P02,17,42,18548,3243
OD003_P02,17,43,18552,2268
OD003_P02,17,44,14267,3352
OD003_P02,17,45,15572,3603
OD003_P02,17,46,15564,4643
OD003_P02,17,47,15567,4645
OD003_P02,17,48,15569,772
OD003_P02,17,49,15560,771
OD003_P02,17,50,15550,775
OD003_P02,17,51,15554,3524
OD003_P02,17,52,15557,4723
OD003_P02,17,53,15559,5087
OD003_P02,17,54,15553,4603
OD003_P03,18,0,17959,1273
OD003_P03,18,1,18013,1267
OD003_P03,18,2,18020,1271
OD003_P03,18,3,15640,4411
OD003_P03,18,4,17180,372
OD003_P03,18,5,17181,3611
OD003_P03,18,6,15603,1971
OD003_P03,18,7,18148,1973
OD003_P03,18,8,15605,2166
OD003_P03,18,9,17186,2167
OD003_P03,18,10,17190,3766
OD003_P03,18,11,17191,2990
OD003_P03,18,12,17057,3546
OD003_P03,18,13,17208,3544
OD003_P03,18,14,17205,922
OD003_P03,18,15,17194,151
OD003_P03,18,16,17211,921
OD003_P03,18,17,14243,911
OD003_P03,18,18,18664,912
OD003_P03,18,19,18686,2614
OD003_P03,18,20,18680,916
OD003_P03,18,21,18668,3769
OD003_P03,18,22,18669,2881
OD003_P03,18,23,18676,2882
OD003_P03,18,24,18287,3473
OD003_P03,18,25,18427,3775
OD003_P03,18,26,18416,2895
OD003_P03,18,27,18430,85
OD003_P03,18,28,18382,1203
OD003_P03,18,29,18413,3624
OD003_P03,18,30,18383,3625
OD003_P03,18,31,18294,3774
OD003_P03,18,32,18487,2625
OD003_P03,18,33,18488,2627
OD003_P03,18,34,18437,2789
OD003_P03,18,35,18503,2844
OD003_P03,18,36,18551,4212
OD003_P03,18,37,18550,3241
OD003_P03,18,38,18547,3242
OD003_P03,18,39,18548,3243
OD003_P03,18,40,18552,2268
OD003_P03,18,41,14267,3352
OD003_P03,18,42,15572,3603
OD003_P03,18,43,15564,4643
OD003_P03,18,44,15567,4645
OD003_P03,18,45,15569,772
OD003_P03,18,46,15560,771
OD003_P03,18,47,15550,775
OD003_P03,18,48,15554,3524
OD003_P03,18,49,15557,4723
OD003_P03,18,50,15559,5087
OD003_P03,18,51,15553,4603
OD003_P04,19,0,17959,1273
OD003_P04,19,1,18013,1267
OD003_P04,19,2,18020,1271
OD003_P04,19,3,15640,4411
OD003_P04,19,4,15585,371
OD003_P04,19,5,18137,370
OD003_P04,19,6,18142,374
OD003_P04,19,7,18139,1976
OD003_P04,19,8,18143,2318
OD003_P04,19,9,18118,2327
OD003_P04,19,10,18148,1973
OD003_P04,19,11,15605,2166
OD003_P04,19,12,17186,2167
OD003_P04,19,13,17190,3766
OD003_P04,19,14,17191,2990
OD003_P04,19,15,17057,3546
OD003_P04,19,16,17208,3544
OD003_P04,19,17,17205,922
OD003_P04,19,18,17206,150
OD003_P04,19,19,17195,920
OD003_P04,19,20,17210,4362
OD003_P04,19,21,14243,911
OD003_P04,19,22,18664,912
OD003_P04,19,23,18686,2614
OD003_P04,19,24,18680,916
OD003_P04,19,25,18668,3769
OD003_P04,19,26,18669,2881
OD003_P04,19,27,18676,2882
OD003_P04,19,28,18286,3472
OD003_P04,19,29,18294,3774
OD003_P04,19,30,18487,2625
OD003_P04,19,31,18488,2627
OD003_P04,19,32,18437,2789
OD003_P04,19,33,18503,2844
OD003_P04,19,34,18551,4212
OD003_P04,19,35,18550,3241
OD003_P04,19,36,18547,3242
OD003_P04,19,37,18548,3243
OD003_P04,19,38,18552,2268
OD003_P04,19,39,14267,3352
OD003_P04,19,40,15572,3603
OD003_P04,19,41,15564,4643
OD003_P04,19,42,15567,4645
OD003_P04,19,43,15569,772
OD003_P04,19,44,15560,771
OD003_P04,19,45,15550,775
OD003_P04,19,46,15554,3524
OD003_P04,19,47,15557,4723
OD003_P04,19,48,15559,5087
OD003_P04,19,49,15553,4603
OD004_P00,20,0,17959,1273
OD004_P00,20,1,18013,1267
OD004_P00,20,2,18020,1271
OD004_P00,20,3,15640,4411
OD004_P00,20,4,15585,371
OD004_P00,20,5,18137,370
OD004_P00,20,6,18142,374
OD004_P00,20,7,18139,1976
OD004_P00,20,8,18116,2317
OD004_P00,20,9,18163,2326
OD004_P00,20,10,18166,3251
