path_index,path_id,od_index,od_id,o_node_id,d_node_id,rank_in_od,link_id_sequence,free_flow_cost_min,generation_method,source_identity
52,OD010_P02,10,3858->4914,3858,4914,2,18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17958;18007;18005;17811;17902;17903;17825,2.492775333333333,yen_loopless_exact_link_ids_vdf_fftt,a3830df841903d59
53,OD010_P03,10,3858->4914,3858,4914,3,18164;18117;18143;18118;18148;15605;17186;17190;17191;17184;17185;17189;17187;15631;17769;17820;18061;17808;17904;17825,2.712636666666666,yen_loopless_exact_link_ids_vdf_fftt,2d2bc0252f8a8a18
54,OD010_P04,10,3858->4914,3858,4914,4,18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17960;18009;18005;17811;17902;17903;17825,2.7491306666666664,yen_loopless_exact_link_ids_vdf_fftt,e87d6acfdce7526a
55,OD011_P00,11,4285->1492,4285,1492,0,16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18010;17828;15592,2.4994959999999997,yen_loopless_exact_link_ids_vdf_fftt,40c442cb5da84baf
56,OD011_P01,11,4285->1492,4285,1492,1,16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18010;17828;15593;17036,2.5414459999999996,yen_loopless_exact_link_ids_vdf_fftt,912b41f830a114ce
57,OD011_P02,11,4285->1492,4285,1492,2,16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18009;18005;17811;17946;17947;15592,2.7547186666666663,yen_loopless_exact_link_ids_vdf_fftt,9a9b4ad3751230e8
58,OD011_P03,11,4285->1492,4285,1492,3,16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18009;18005;17811;17946;17947;15593;17036,2.7966686666666662,yen_loopless_exact_link_ids_vdf_fftt,b617963338fa6054
59,OD011_P04,11,4285->1492,4285,1492,4,16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18010;18011;18008;17811;17946;17947;15592,2.8392806666666663,yen_loopless_exact_link_ids_vdf_fftt,8a6bebaa3b00e3a8
60,OD012_P00,12,4285->2032,4285,2032,0,16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18009;18006,2.142852,yen_loopless_exact_link_ids_vdf_fftt,1897d93ea86d0b30
61,OD012_P01,12,4285->2032,4285,2032,1,16918;16924;16621;17113;17117;17116;17112;17061;17167;17166;17158;15632;18014;17958,2.169608666666666,yen_loopless_exact_link_ids_vdf_fftt,655691d01da0efd4
62,OD012_P02,12,4285->2032,4285,2032,2,16918;16924;16621;17113;17117;17116;17112;17061;17167;17166;17158;15632;18014;17960;18009;18006,2.5704279999999993,yen_loopless_exact_link_ids_vdf_fftt,3e5818216ceba97e
63,OD012_P03,12,4285->2032,4285,2032,3,16918;16924;16621;17113;17117;17116;17112;17061;17167;17166;17158;17178;17181;15604;18115;18154;18120;17772;18015;18018;18019;18014;17958,2.619016666666666,yen_loopless_exact_link_ids_vdf_fftt,c6b0d7ca48fee230
64,OD012_P04,12,4285->2032,4285,2032,4,16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18010;18011;18008;18012;18004;18006,2.6239539999999995,yen_loopless_exact_link_ids_vdf_fftt,378b10ace8581a2d
65,OD013_P00,13,4285->4914,4285,4914,0,16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18009;18005;17811;17902;17903;17825,2.953194666666666,yen_loopless_exact_link_ids_vdf_fftt,a8bc8a61063d156a
66,OD013_P01,13,4285->4914,4285,4914,1,16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18010;18011;18008;17811;17902;17903;17825,3.037756666666666,yen_loopless_exact_link_ids_vdf_fftt,25a27f196884cf59
67,OD013_P02,13,4285->4914,4285,4914,2,16918;16924;16621;17113;17117;17116;17112;17061;17167;17166;17158;15632;18014;17958;18007;18005;17811;17902;17903;17825,3.1244153333333324,yen_loopless_exact_link_ids_vdf_fftt,871b53cdffc47c18
